"entry";"name";"gossip_menu_id";"minlevel";"maxlevel";"exp";"faction";"npcflag";"detection_range";"rank";"dmgschool";"DamageModifier";"BaseAttackTime";"RangeAttackTime";"BaseVariance";"RangeVariance";"unit_class";"unit_flags";"unit_flags2";"dynamicflags";"family";"type";"type_flags";"mingold";"maxgold";"HealthModifier";"ManaModifier";"ArmorModifier";"ExperienceModifier";"RacialLeader";"RegenHealth";"mechanic_immune_mask";"spell_school_immune_mask";"flags_extra";"ScriptName"
68;"Stormwind City Guard";435;75;75;2;11;1;18.0;0;0;1.0;2000;2000;1.0;1.0;1;32768;2048;0;0;7;0;0;0;1.5;1.0;1.0;1.0;0;1;0;0;98304;""
69;"Diseased Timber Wolf";0;2;2;0;32;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;1;1;1;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
70;"[UNUSED] Lower Class Citizen";0;1;2;0;12;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
71;"Rankist";0;5;7;0;14;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;0;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
72;"[UNUSED] Antaris the Trader";0;20;20;0;2000;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.2;1.0;1.0;1.0;0;1;0;0;0;""
73;"Veraina the Apothecary";0;40;40;0;35;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.15;1.0;1.0;1.0;0;1;0;0;2;""
74;"Kurran Steele";0;10;10;0;12;4224;18.0;0;0;1.0;2000;2000;1.0;1.0;1;512;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
75;"[UNUSED] Vashaum Nightwither";0;12;12;0;17;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
78;"Janos Hammerknuckle";0;5;5;0;12;4224;18.0;0;0;1.0;2000;2000;1.0;1.0;1;768;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
79;"Narg the Taskmaster";0;10;10;0;26;0;20.0;4;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;11;19;1.3;1.0;1.0;1.0;0;1;0;0;0;""
80;"Kobold Laborer";0;3;3;0;25;0;10.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;1;5;1.0;1.0;1.0;1.0;0;1;0;0;2;""
81;"[UNUSED] Luglar the Clogger";0;5;5;0;26;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
82;"Crazy Leonetti";0;7;7;0;35;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
87;"Forest Troll Berserker";0;2;4;0;14;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
89;"Infernal";0;66;70;2;954;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;32768;2048;0;19;3;0;0;0;1.9;1.0;1.0;1.0;0;1;0;0;0;""
90;"Sea Giant";0;40;40;0;14;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;5;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
92;"Rock Elemental";0;39;40;0;91;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;4;0;0;0;1.15;1.0;1.0;1.0;0;1;645999389;8;0;""
93;"Centaur";0;1;2;0;35;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;0;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
94;"Defias Cutpurse";0;5;6;0;17;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;1;12;1.0;1.0;1.0;1.0;0;1;0;0;0;""
95;"Defias Smuggler";0;11;12;0;17;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;32768;2048;0;0;7;0;3;24;1.0;1.0;1.0;1.0;0;1;0;0;0;""
97;"Riverpaw Runt";0;8;9;0;20;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;2;15;1.0;1.0;1.0;1.0;0;1;0;0;0;""
98;"Riverpaw Taskmaster";0;17;18;0;20;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;21;52;1.0;1.0;1.0;1.0;0;1;0;0;0;""
99;"Morgaine the Sly";0;10;10;0;17;0;20.0;4;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;10;18;1.0;1.0;1.0;1.0;0;1;0;0;0;""
100;"Gruff Swiftbite";0;12;12;0;20;0;20.0;4;0;1.0;1500;2000;1.0;1.0;1;0;2048;0;0;7;0;4;21;1.0;1.0;1.0;1.0;0;1;0;0;0;""
102;"Bronze Dragonspawn";0;1;2;0;35;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;0;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
103;"Garrick Padfoot";0;5;5;0;7;0;10.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;1;7;1.0;0.0;1.0;1.0;0;1;0;0;0;""
105;"Tall Strider";0;1;2;0;35;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;12;0;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
106;"Kodo Beast";0;1;2;0;35;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;1;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
107;"Raptor";0;1;2;0;35;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;11;1;1;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
108;"Green Dragonspawn";0;1;2;0;35;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;0;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
109;"White Dragonspawn";0;1;2;0;35;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;0;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
111;"Priest";0;3;4;0;12;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
112;"Priestess";0;3;4;0;12;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
113;"Stonetusk Boar";0;5;6;0;189;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;5;1;1;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
114;"Harvest Watcher";0;14;15;0;14;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;9;0;4;34;1.0;1.0;1.0;1.0;0;1;8388624;0;0;""
115;"Harvest Reaper";0;17;18;0;14;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;9;0;21;42;1.0;1.0;1.0;1.0;0;1;8388624;0;0;""
116;"Defias Bandit";0;8;9;0;17;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;2;14;1.0;1.0;1.0;1.0;0;1;0;0;0;""
117;"Riverpaw Gnoll";0;11;12;0;20;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;3;24;1.0;1.0;1.0;1.0;0;1;0;0;0;""
118;"Prowler";0;9;10;0;38;0;18.0;0;0;1.0;1500;2000;1.0;1.0;1;0;2048;0;1;1;1;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
119;"Longsnout";0;10;11;0;189;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;5;1;1;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
120;"Forest Stalker";0;9;10;0;22;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;3;1;1;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
121;"Defias Pathstalker";0;16;16;0;17;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;32768;2048;0;0;7;0;5;38;1.0;1.0;1.0;1.0;0;1;0;0;0;""
122;"Defias Highwayman";0;17;18;0;17;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;32768;2048;0;0;7;0;8;54;1.0;1.0;1.0;1.0;0;1;0;0;0;""
123;"Riverpaw Mongrel";0;14;14;0;20;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;4;28;1.0;1.0;1.0;1.0;0;1;0;0;0;""
124;"Riverpaw Brute";0;15;16;0;20;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;18;35;1.0;1.0;1.0;1.0;0;1;0;0;0;""
125;"Riverpaw Overseer";0;19;20;0;20;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;24;37;1.0;1.0;1.0;1.0;0;1;0;0;0;""
126;"Murloc Coastrunner";0;12;13;0;18;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;32768;2048;0;0;7;0;3;25;1.0;1.0;1.0;1.0;0;1;0;0;0;""
127;"Murloc Tidehunter";0;18;19;0;18;0;18.0;0;0;1.0;2000;2000;1.0;1.0;2;32768;2048;0;0;7;0;13;47;1.0;1.0;1.0;1.0;0;1;0;0;0;""
128;"Angry Programmer Tweedle Dee";0;59;59;0;18;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;10;0;117;586;1.0;1.0;1.0;1.0;0;1;0;0;0;""
129;"Angry Programmer Tweedle Dum";0;50;75;0;14;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;10;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
130;"Programmer Vendor";0;62;62;0;35;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.35;1.0;1.0;1.0;0;1;0;0;0;""
149;"[UNUSED] Small Black Dragon Whelp";0;6;7;0;14;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;2;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
150;"[UNUSED] Brother Milius";0;5;5;0;12;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
151;"Brog Hamfist";0;10;10;0;12;384;18.0;0;0;1.0;1500;2000;1.0;1.0;1;512;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
152;"Brother Danil";0;5;5;0;12;384;18.0;0;0;1.0;1500;2000;1.0;1.0;1;768;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
153;"Bethina";0;35;35;0;12;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
154;"Greater Fleshripper";0;16;17;0;73;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;7;1;1;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
157;"Goretusk";0;14;15;0;189;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;5;1;1;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
161;"[UNUSED] Ander the Monk";0;10;10;0;12;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
163;"[UNUSED] Destitute Farmer";0;4;4;0;12;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
165;"[UNUSED] Small Child";0;1;1;0;12;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
167;"Morhan Coppertongue";0;13;13;0;55;4224;18.0;0;0;1.0;2000;2000;1.0;1.0;1;512;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
171;"Murloc Warrior";0;15;16;0;18;0;18.0;0;0;1.0;3000;2000;1.0;1.0;1;32768;2048;0;0;7;0;7;36;1.0;1.0;1.0;1.0;0;1;0;0;0;""
190;"Dermot Johns";0;5;5;0;12;4224;18.0;0;0;1.0;2000;2000;1.0;1.0;1;768;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
192;"Ice Troll";0;62;62;0;37;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.35;1.0;1.0;1.0;0;1;0;0;0;""
193;"Blue Dragonspawn";0;50;51;0;60;0;20.0;1;0;2.4;2700;2000;1.0;1.0;1;64;2048;0;0;2;0;380;501;3.0;2.0;1.0;1.0;0;1;0;0;0;""
196;"Eagan Peltskinner";0;3;3;0;12;2;18.0;0;0;1.0;1500;2000;1.0;1.0;1;768;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
197;"Marshal McBride";4048;20;20;0;12;3;18.0;0;0;1.0;1500;2000;1.0;1.0;1;768;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
198;"Khelden Bremen";4660;5;5;0;12;51;18.0;0;0;1.0;1500;2000;1.0;1.0;1;768;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
199;"Young Fleshripper";0;10;11;0;73;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;7;1;1;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
200;"Shambling Skeleton UNUSED";0;20;21;0;35;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;6;0;0;0;1.02;1.0;1.0;1.0;0;1;8388624;0;0;""
201;"Brittlebones Skeleton";0;1;1;0;21;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;6;0;0;0;1.0;1.0;1.0;1.0;0;1;8388624;0;0;""
202;"Skeletal Horror";0;23;24;0;21;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;6;0;19;45;1.02;1.0;1.0;1.0;0;1;8585745;0;0;""
203;"Skeletal Mage";0;22;23;0;21;0;18.0;0;0;1.0;3000;2000;1.0;1.0;8;0;2048;0;0;6;0;27;63;1.02;1.0;1.0;1.0;0;1;8585745;0;0;""
204;"[UNUSED] Cackle Flamebone";0;28;28;0;21;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;6;0;0;0;1.05;1.0;1.0;1.0;0;1;8388624;0;0;""
205;"Nightbane Dark Runner";0;28;29;0;24;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;28;144;1.05;1.0;1.0;1.0;0;1;0;0;0;""
206;"Nightbane Vile Fang";0;30;30;0;24;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;43;169;1.05;1.0;1.0;1.0;0;1;0;0;0;""
207;"[UNUSED] Riverpaw Hideflayer";0;25;26;0;20;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.05;1.0;1.0;1.0;0;1;0;0;0;""
208;"[UNUSED] Riverpaw Pack Warder";0;23;24;0;20;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.02;1.0;1.0;1.0;0;1;0;0;0;""
209;"[UNUSED] Riverpaw Bone Chanter";0;24;25;0;20;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.02;1.0;1.0;1.0;0;1;0;0;0;""
210;"Bone Chewer";0;26;27;0;21;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;6;0;22;53;1.05;1.0;1.0;1.0;0;1;8388624;0;0;""
211;"Ogre";0;29;30;0;45;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.05;1.0;1.0;1.0;0;1;0;0;0;""
212;"Splinter Fist Warrior";0;29;30;0;45;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;43;143;1.05;1.0;1.0;1.0;0;1;0;0;0;""
213;"Starving Dire Wolf";0;19;20;0;38;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;1;1;1;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
215;"Defias Night Runner";0;24;25;0;17;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;33;110;1.02;1.0;1.0;1.0;0;1;0;0;0;""
217;"Venom Web Spider";0;19;20;0;22;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;3;1;1;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
218;"Grave Robber";0;24;25;0;17;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;32;75;1.02;1.0;1.0;1.0;0;1;0;0;0;""
219;"[UNUSED] Logan Mar";0;20;20;0;12;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;8;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
220;"[UNUSED] Khebil Steelsmith";0;17;17;0;12;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;8;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
221;"Dannus";0;17;17;0;12;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
222;"Nillen Andemar";0;19;19;0;55;4224;18.0;0;0;1.0;1500;2000;1.0;1.0;1;512;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
223;"Dan Golthas";4188;23;23;0;68;1;18.0;0;0;1.0;2000;2000;1.0;1.0;1;4608;2048;0;0;7;0;0;0;1.02;1.0;1.0;1.0;0;1;0;0;2;""
224;"Zek Marston";0;15;15;0;12;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
225;"Gavin Gnarltree";0;30;30;0;12;4224;18.0;0;0;1.0;1500;2000;1.0;1.0;1;512;2048;0;0;7;0;0;0;1.05;1.0;1.0;1.0;0;1;0;0;2;""
226;"Morg Gnarltree";0;30;30;0;12;4224;18.0;0;0;1.0;1500;2000;1.0;1.0;1;512;2048;0;0;7;0;0;0;1.05;1.0;1.0;1.0;0;1;0;0;2;""
227;"Mabel Solaj";0;26;26;0;12;384;18.0;0;0;1.0;1500;2000;1.0;1.0;1;512;2048;0;0;7;0;0;0;1.05;1.0;1.0;1.0;0;1;0;0;2;""
228;"Avette Fellwood";0;24;24;0;12;4480;18.0;0;0;1.0;1500;2000;1.0;1.0;1;512;2048;0;0;7;0;0;0;1.02;1.0;1.0;1.0;0;1;0;0;2;""
229;"Vaious";0;1;1;0;14;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.35;1.0;1.0;1.0;0;1;0;0;2;""
230;"Thornton Fellwood";0;1;1;0;35;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.05;1.0;1.0;1.0;0;1;0;0;2;""
232;"Farmer Ray";0;23;23;0;88;0;18.0;0;0;1.0;1500;2000;1.0;1.0;1;32768;2048;0;0;7;0;17;103;1.02;1.0;1.0;1.0;0;1;0;0;0;""
233;"Farmer Saldean";1781;20;20;0;12;643;18.0;0;0;1.0;1500;2000;1.0;1.0;1;512;2048;0;0;7;134217728;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
234;"Gryan Stoutmantle";61029;35;35;0;11;3;20.0;1;0;2.4;1500;2000;1.0;1.0;1;512;2048;0;0;7;0;0;0;2.0;1.0;1.0;1.0;0;1;0;0;2;""
235;"Salma Saldean";0;20;20;0;12;2;18.0;0;0;1.0;1500;2000;1.0;1.0;1;512;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
237;"Farmer Furlbrow";61030;20;20;0;12;3;18.0;0;0;1.0;1500;2000;1.0;1.0;1;512;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
238;"Verna Furlbrow";57030;20;20;0;12;3;18.0;0;0;1.0;1500;2000;1.0;1.0;1;512;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
239;"Grimbooze Thunderbrew";61028;20;20;0;55;3;18.0;0;0;1.0;1500;2000;1.0;1.0;1;512;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
240;"Marshal Dughan";11611;25;25;0;12;3;18.0;0;0;1.0;1500;2000;1.0;1.0;1;512;2048;0;0;7;0;0;0;1.02;1.0;1.0;1.0;0;1;0;0;2;""
241;"Remy ""Two Times""";57021;5;5;0;12;3;18.0;0;0;1.0;1500;2000;1.0;1.0;1;512;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
242;"Horras Brackwell";0;10;10;0;12;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;8;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
243;"[UNUSED] Greeby Mudwhisker TEST";0;5;5;0;35;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
244;"Ma Stonefield";0;3;3;0;12;2;18.0;0;0;1.0;1500;2000;1.0;1.0;1;512;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
246;"""Auntie"" Bernice Stonefield";0;6;6;0;12;2;18.0;0;0;1.0;1500;2000;1.0;1.0;1;512;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
247;"Billy Maclure";0;1;1;0;12;2;18.0;0;0;1.0;2000;2000;1.0;1.0;1;768;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
